name,year,score
尤物：海蒂·拉玛传 Bombshell: The Hedy Lamarr Story,(2017),7.6
高山 Mountain,(2017),7.7
夫妻之间 Moglie e marito,(2017),7.1
德国往事 Es war einmal in Deutschland...,(2017),7.2
寄宿学校 Boarding School,(2018),7.3
德鲁大叔 Uncle Drew,(2018),7.3
传奇的诞生 Pelé: Birth of a Legend,(2016),7.6
碟中谍6：全面瓦解 Mission: Impossible - Fallout,(2018),8.3
告白,(2010),8.7
一出好戏,(2018),7.3
爱情公寓,(2018),2.8
奇怪的袜子精灵 Lichozrouti,(2016),6.6
小偷家族 万引き家族,(2018),8.8
大三儿,(2018),7.6
狄仁杰之四大天王,(2018),6.3
爸，我一定行的,(2018),6.2
天下第一镖局,(2018),4.3
欧洲攻略,(2018),3.7
守望一生,(2012),
摇滚小子,(2018),
神秘世界历险记4,(2018),5.7
我不是药神,(2018),9.0
那些女人,(2018),
信仰者,(2018),
新乌龙院之笑闹江湖,(2018),3.5
解剖室灵异事件之男生宿舍,(2018),
吻隐者,(2018),
深海历险记,(2018),
大师兄 大師兄,(2018),5.3
藏北秘岭-重返无人区,(2018),6.2
巨齿鲨 The Meg,(2018),6.0
精灵旅社3：疯狂假期 Hotel Transylvania 3: Summer Vacation,(2018),6.9
西虹市首富,(2018),6.7
苏丹 Sultan,(2016),7.0
李宗伟：败者为王 Lee Chong Wei,(2018),7.0
一出好戏,(2018),7.3
道高一丈,(2018),5.3
传奇的诞生 Pelé: Birth of a Legend,(2016),7.6
快把我哥带走,(2018),7.0
蚁人2：黄蜂女现身 Ant-Man and the Wasp,(2018),7.5
阿尔法：狼伴归途 Alpha,(2018),6.5
碟中谍6：全面瓦解 Mission: Impossible - Fallout,(2018),8.3
